Sample	Estandardized_sample_nameR
FEG171-35	FEG171_35
FEG172-14	FEG172_14
FEG172-40	FEG172_40
FEG175-01	FEG175_01
FEG175-48	FEG175_48
FEG175-57	FEG175_57
GEN2-010	GEN2_010
MN04-01	MN04_01
MN04-03	MN04_03
MN04-05	MN04_05
MN04-07	MN04_07
MN04-09	MN04_09
MN04-11	MN04_11
MN04-13	MN04_13
MN04-15	MN04_15
MN04-17	MN04_17
MN04-19	MN04_19
MN04-21	MN04_21
MN04-23	MN04_23
MN04-25	MN04_25
MN04-27	MN04_27
MN04-29	MN04_29
MN04-31	MN04_31
MN04-33	MN04_33
MN04-35	MN04_35
MN04-37	MN04_37
MN04-39	MN04_39
MN04-41	MN04_41
MN04-43	MN04_43
MN04-45	MN04_45
MN04-47	MN04_47
MN04-49	MN04_49
MN04-51	MN04_51
MN04-53	MN04_53
MN04-55	MN04_55
NEG2-03	NEG2_03
NEG2-48	NEG2_48
NEG2-59	NEG2_59
NEG4-37	NEG4_37
NEG5-02	NEG5_02
NEG5-125	NEG5_125
NEG5-76	NEG5_76
SEP10-20	SEP10_20
SEP10-51	SEP10_51
SEP11-23	SEP11_23
SEP11-33	SEP11_33
SEP11-88	SEP11_88
SNB2-21	SNB2_21
SNB2-26	SNB2_26
SNB2-56	SNB2_56
FEG178-02	FEG178_02
FEG178-05	FEG178_05
FEG178-11	FEG178_11
FEG178-16	FEG178_16
FEG178-18	FEG178_18
FEG178-45	FEG178_45
FEG178-64	FEG178_64
FEG178-65	FEG178_65
FEG179-10	FEG179_10
FEG179-17	FEG179_17
FEG179-18	FEG179_18
FEG179-28	FEG179_28
FEG179-66	FEG179_66
FEG180-19	FEG180_19
FEG181-09	FEG181_09
FEG181-17	FEG181_17
FEG181-40	FEG181_40
FEG181-42	FEG181_42
FEG181-62	FEG181_62
FEG181-64	FEG181_64
FEG181-66	FEG181_66
FEG182-15	FEG182_15
FEG182-31	FEG182_31
FEG182-37	FEG182_37
FEG182-57	FEG182_57
FEG182-60	FEG182_60
FEG182-61	FEG182_61
FEG183-24	FEG183_24
FEG183-25	FEG183_25
FEG183-28	FEG183_28
FEG183-51	FEG183_51
FEG183-52	FEG183_52
FEG183-53	FEG183_53
FEG184-11	FEG184_11
FEG184-23	FEG184_23
FEG184-24	FEG184_24
FEG184-34	FEG184_34
FEG184-35	FEG184_35
FEG184-43	FEG184_43
FEG184-50	FEG184_50
FEG184-54	FEG184_54
FEG184-60	FEG184_60
FEG185-10	FEG185_10
FEG185-15	FEG185_15
FEG185-22	FEG185_22
FEG185-31	FEG185_31
FEG185-32	FEG185_32
FEG185-37	FEG185_37
FEG185-46	FEG185_46
FEG185-64	FEG185_64
FEG187-02	FEG187_02
FEG187-11	FEG187_11
FEG187-41	FEG187_41
FEG188-02	FEG188_02
FEG188-39	FEG188_39
FEG188-53	FEG188_53
FEG189-01	FEG189_01
FEG189-05	FEG189_05
FEG189-12	FEG189_12
FEG189-15	FEG189_15
FEG189-27	FEG189_27
FEG189-67	FEG189_67
FEG190-01	FEG190_01
FEG190-08	FEG190_08
FEG190-65	FEG190_65
FEG190-67	FEG190_67
FEG192-04	FEG192_04
FEG192-14	FEG192_14
FEG192-15	FEG192_15
FEG192-30	FEG192_30
FEG192-42	FEG192_42
FEG192-49	FEG192_49
FEG192-56	FEG192_56
FEG192-69	FEG192_69
MN05-01	MN05_01
MN05-03	MN05_03
MN05-04	MN05_04
MN05-05	MN05_05
MN05-07	MN05_07
MN05-08	MN05_08
MN05-09	MN05_09
MN05-11	MN05_11
MN05-12	MN05_12
MN05-13	MN05_13
MN05-15	MN05_15
MN05-16	MN05_16
MN05-17	MN05_17
MN05-19	MN05_19
MN05-20	MN05_20
MN05-21	MN05_21
MN05-24	MN05_24
MN05-25	MN05_25
MN05-29	MN05_29
MN05-31	MN05_31
MN05-35	MN05_35
MN05-39	MN05_39
FEG195-04	FEG195_04
FEG195-18	FEG195_18
FEG195-33	FEG195_33
FEG195-34	FEG195_34
FEG195-35	FEG195_35
FEG195-40	FEG195_40
FEG197-20	FEG197_20
FEG197-21	FEG197_21
FEG197-30	FEG197_30
FEG197-34	FEG197_34
FEG200-01	FEG200_01
FEG200-08	FEG200_08
FEG200-30	FEG200_30
FEG200-32	FEG200_32
FEG200-47	FEG200_47
FEG201-12	FEG201_12
FEG201-22	FEG201_22
FEG201-38	FEG201_38
FEG201-43	FEG201_43
FEG202-06	FEG202_06
FEG202-21	FEG202_21
FEG202-36	FEG202_36
FEG202-43	FEG202_43
FEG202-48	FEG202_48
FEG203-22	FEG203_22
FEG203-40	FEG203_40
FEG204-08	FEG204_08
FEG204-18	FEG204_18
FEG204-43	FEG204_43
FEG204-46	FEG204_46
FEG204-50	FEG204_50
FEG204-51	FEG204_51
FEG206-01	FEG206_01
FEG206-13	FEG206_13
FEG206-15	FEG206_15
FEG206-16	FEG206_16
FEG206-22	FEG206_22
FEG206-24	FEG206_24
FEG206-30	FEG206_30
FEG206-35	FEG206_35
FEG206-38	FEG206_38
FEG207-02	FEG207_02
FEG207-07	FEG207_07
FEG207-12	FEG207_12
FEG207-13	FEG207_13
FEG207-26	FEG207_26
FEG207-31	FEG207_31
FEG207-48	FEG207_48
FEG208-05	FEG208_05
FEG208-11	FEG208_11
FEG208-14	FEG208_14
FEG208-28	FEG208_28
FEG208-48	FEG208_48
FEG208-52	FEG208_52
FEG209-16	FEG209_16
FEG209-43	FEG209_43
FEG209-51	FEG209_51
FEG209-54	FEG209_54
FEG209-56	FEG209_56
FEG209-64	FEG209_64
FEG210-02	FEG210_02
FEG210-16	FEG210_16
FEG210-28	FEG210_28
FEG210-33	FEG210_33
FEG210-46	FEG210_46
FEG211-06	FEG211_06
FEG211-17	FEG211_17
FEG211-21	FEG211_21
FEG211-38	FEG211_38
FEG211-39	FEG211_39
FEG211-57	FEG211_57
FEG212-01	FEG212_01
FEG212-06	FEG212_06
FEG212-09	FEG212_09
FEG212-10	FEG212_10
FEG212-41	FEG212_41
FEG212-45	FEG212_45
FEG213-03	FEG213_03
FEG213-16	FEG213_16
FEG213-32	FEG213_32
FEG213-34	FEG213_34
FEG213-39	FEG213_39
FEG214-22	FEG214_22
FEG214-24	FEG214_24
FEG214-32	FEG214_32
FEG215-05	FEG215_05
FEG215-27	FEG215_27
FEG216-12	FEG216_12
FEG216-53	FEG216_53
MN06-02	MN06_02
MN06-04	MN06_04
MN06-06	MN06_06
MN06-08	MN06_08
MN06-10	MN06_10
MN06-12	MN06_12
MN06-14	MN06_14
MT050002	MT050002
MT050025	MT050025
MT050026	MT050026
MT050027	MT050027
MT050028	MT050028
MT050029	MT050029
MT050030	MT050030
MT050031	MT050031
MT050032	MT050032
MT050033	MT050033
MT050034	MT050034
MT050035	MT050035
MT050036	MT050036
MT050037	MT050037
MT050038	MT050038
MT050039	MT050039
MT050040	MT050040
MT050042	MT050042
MT050043	MT050043
MT050044	MT050044
MT050045	MT050045
MT050047	MT050047
MT050048	MT050048
MT050049	MT050049
MT050050	MT050050
MT050051	MT050051
MT050053	MT050053
MT050054	MT050054
MT050059	MT050059
MT050062	MT050062
MT050068	MT050068
MT050080	MT050080
MT050081	MT050081
MT050082	MT050082
MT050087	MT050087
MT050088	MT050088
MT050091	MT050091
MT050104	MT050104
MT050110	MT050110
MT050117	MT050117
MT050118	MT050118
MT050120	MT050120
MT050121	MT050121
MT050124	MT050124
MT050142	MT050142
MT050144	MT050144
MT050149	MT050149
MT050150	MT050150
MT050151	MT050151
MT050153	MT050153
MT050154	MT050154
MT050157	MT050157
MT050158	MT050158
MT050163	MT050163
MT050165	MT050165
MT050166	MT050166
MT050169	MT050169
MT050170	MT050170
MT050176	MT050176
MT050181	MT050181
MT050182	MT050182
MT050184	MT050184
MT050185	MT050185
MT050187	MT050187
MT050191	MT050191
MT050193	MT050193
MT050195	MT050195
MT050197	MT050197
MT050198	MT050198
MT050199	MT050199
MT050200	MT050200
MT050201	MT050201
MT050203	MT050203
MT050204	MT050204
MT050205	MT050205
MT050206	MT050206
MT050207	MT050207
MT050209	MT050209
MT050210	MT050210
MT050211	MT050211
MT050212	MT050212
MT050214	MT050214
MT050218	MT050218
MT050220	MT050220
MT050221	MT050221
MT050222	MT050222
MT050223	MT050223
MT050224	MT050224
MT050231	MT050231
MT050232	MT050232
MT050234	MT050234
MT050235	MT050235
MT050236	MT050236
MT050238	MT050238
MT050239	MT050239
MT050241	MT050241
MT070022	MT070022
MT070023	MT070023
MT070024	MT070024
MT070025	MT070025
MT070026	MT070026
MT070027	MT070027
MT070028	MT070028
MT070029	MT070029
MT070030	MT070030
MT070031	MT070031
MT070032	MT070032
MT070033	MT070033
MT070034	MT070034
MT070035	MT070035
MT070036	MT070036
MT070037	MT070037
MT070039	MT070039
MT070040	MT070040
MT070041	MT070041
MT070042	MT070042
MT070043	MT070043
MT070044	MT070044
MT070045	MT070045
MT070046	MT070046
MT070047	MT070047
MT070048	MT070048
MT070049	MT070049
MT070050	MT070050
MT070051	MT070051
MT070052	MT070052
MT070053	MT070053
MT070054	MT070054
MT070055	MT070055
MT070056	MT070056
MT070057	MT070057
MT070058	MT070058
MT070059	MT070059
MT070060	MT070060
MT070061	MT070061
MT070062	MT070062
MT070063	MT070063
MT070064	MT070064
MT070065	MT070065
MT070066	MT070066
MT070067	MT070067
MT070068	MT070068
MT070069	MT070069
MT070070	MT070070
MT070071	MT070071
MT070096	MT070096
MT070097	MT070097
MT070098	MT070098
MT070099	MT070099
MT070100	MT070100
MT070107	MT070107
MT070108	MT070108
MT070124	MT070124
MT070125	MT070125
MT070126	MT070126
MT070134	MT070134
MT070135	MT070135
MT070138	MT070138
MT070139	MT070139
MT070141	MT070141
MT070142	MT070142
MT070143	MT070143
MT070144	MT070144
MT070145	MT070145
MT070146	MT070146
MT070147	MT070147
MT070148	MT070148
MT070149	MT070149
MT070150	MT070150
MT070151	MT070151
MT070152	MT070152
MT070153	MT070153
MT070154	MT070154
MT070155	MT070155
MT070156	MT070156
MT070157	MT070157
MT070158	MT070158
MT070159	MT070159
MT070160	MT070160
MT070161	MT070161
MT070162	MT070162
MT070167	MT070167
MT070168	MT070168
MT070170	MT070170
MT070171	MT070171
MT070172	MT070172
MT070173	MT070173
MT070174	MT070174
MT070175	MT070175
MT070176	MT070176
MT070188	MT070188
MT070189	MT070189
MT08005	MT08005
MT08006	MT08006
MT08010	MT08010
MT08011	MT08011
MT08044	MT08044
MT08047	MT08047
MT08053	MT08053
MT08055	MT08055
MT08056	MT08056
MT08061	MT08061
MT08077	MT08077
MT08083	MT08083
MT08084	MT08084
MT08085	MT08085
MT08087	MT08087
MT08104	MT08104
MT08106	MT08106
MT08107	MT08107
MT08112	MT08112
MT08113	MT08113
MT08119	MT08119
MT08120	MT08120
MT08128	MT08128
MT08129	MT08129
MT08142	MT08142
MT08152	MT08152
MT08153	MT08153
MT08154	MT08154
MT08155	MT08155
MT08156	MT08156
MT08160	MT08160
MT08161	MT08161
MT08164	MT08164
MT08165	MT08165
MT08166	MT08166
MT08170	MT08170
MT08173	MT08173
MT08177	MT08177
MT08179	MT08179
MT08182	MT08182
MT08184	MT08184
MT08189	MT08189
MT08190	MT08190
MT08192	MT08192
MT08193	MT08193
MT08197	MT08197
MT08198	MT08198
MT08199	MT08199
MT08200	MT08200
MT08203	MT08203
MT08206	MT08206
MT08208	MT08208
MT08211	MT08211
MT08217	MT08217
MT08220	MT08220
MT08221	MT08221
MT08230	MT08230
MT08231	MT08231
MT08232	MT08232
MT08236	MT08236
MT08238	MT08238
MT08239	MT08239
MT08243	MT08243
MT08248	MT08248
MT08249	MT08249
MT08254	MT08254
MT08255	MT08255
MT08256	MT08256
MT08257	MT08257
MT08258	MT08258
MT08260	MT08260
MT08262	MT08262
MT08270	MT08270
MT08272	MT08272
MT08273	MT08273
MT08275	MT08275
MT08277	MT08277
MT08279	MT08279
MT08281	MT08281
MT08282	MT08282
MT08283	MT08283
MT08284	MT08284
MT08285	MT08285
MT08286	MT08286
MT08289	MT08289
MT08290	MT08290
MT08291	MT08291
MT08292	MT08292
MT08300	MT08300
MT08305	MT08305
MT08327	MT08327
MT08328	MT08328
MT08351	MT08351
MT08353	MT08353
MT08370	MT08370
MT08372	MT08372
MT090001	MT090001
MT090008	MT090008
MT090013	MT090013
MT090014	MT090014
MT090017	MT090017
MT090018	MT090018
MT090022	MT090022
MT090025	MT090025
MT090027	MT090027
MT090029	MT090029
MT090031	MT090031
MT090036	MT090036
MT090039	MT090039
MT090040	MT090040
MT090041	MT090041
MT090046	MT090046
MT090050	MT090050
MT090055	MT090055
MT090056	MT090056
MT090057	MT090057
MT090058	MT090058
MT090059	MT090059
MT090063	MT090063
MT090064	MT090064
MT090065	MT090065
MT090066	MT090066
MT090084	MT090084
MT090109	MT090109
ND20798-12	ND20798_12
ND21089-3	ND21089_3
ND21863-2	ND21863_2
ND21865-6	ND21865_6
ND21867	ND21867
ND22025	ND22025
ND22182	ND22182
ND22895	ND22895
ND22927	ND22927
ND22928	ND22928
ND22947	ND22947
ND22996	ND22996
ND23117	ND23117
ND23146	ND23146
ND23164	ND23164
ND23203	ND23203
ND24168	ND24168
ND24170	ND24170
ND24175	ND24175
ND24178	ND24178
ND24179	ND24179
ND24181	ND24181
ND24186	ND24186
ND24189	ND24189
ND24190	ND24190
ND24205	ND24205
ND24209	ND24209
ND24216	ND24216
ND24221	ND24221
ND24236	ND24236
ND24238	ND24238
ND24239	ND24239
ND24250	ND24250
ND24253	ND24253
ND24259	ND24259
ND24263	ND24263
ND24266	ND24266
ND24270	ND24270
ND24287	ND24287
ND24289	ND24289
ND24317	ND24317
ND24318	ND24318
ND24319	ND24319
ND24325	ND24325
ND24335	ND24335
ND24338	ND24338
ND24341	ND24341
ND24346	ND24346
ND24365	ND24365
ND24367	ND24367
ND24379	ND24379
ND24383	ND24383
ND24385	ND24385
ND24388	ND24388
ND24392	ND24392
ND24393	ND24393
ND24396	ND24396
ND24402	ND24402
ND24405	ND24405
ND24407	ND24407
ND24408	ND24408
ND24409	ND24409
ND24422	ND24422
ND24424	ND24424
ND24426	ND24426
ND24432	ND24432
ND24434	ND24434
ND24435	ND24435
ND24440	ND24440
ND24455	ND24455
ND24458	ND24458
ND24461	ND24461
ND24476	ND24476
ND24490	ND24490
ND24499	ND24499
ND24505	ND24505
ND24506	ND24506
ND24509	ND24509
ND24510	ND24510
ND24518	ND24518
ND24519	ND24519
ND24521	ND24521
ND24531	ND24531
ND24535	ND24535
ND24537	ND24537
ND24550	ND24550
ND24560	ND24560
ND24561	ND24561
ND24564	ND24564
ND24565	ND24565
ND24571	ND24571
ND24572	ND24572
ND24581	ND24581
ND24600	ND24600
ND24602	ND24602
ND24606	ND24606
2ND26306	2ND26306
2ND26307	2ND26307
2ND26308	2ND26308
2ND26309	2ND26309
2ND26310	2ND26310
2ND26311	2ND26311
2ND26312	2ND26312
2ND26313	2ND26313
2ND26314	2ND26314
2ND26315	2ND26315
2ND26316	2ND26316
2ND26317	2ND26317
2ND26318	2ND26318
2ND26319	2ND26319
2ND26320	2ND26320
2ND26321	2ND26321
2ND26322	2ND26322
2ND26323	2ND26323
2ND26324	2ND26324
2ND26325	2ND26325
2ND26326	2ND26326
2ND26327	2ND26327
2ND26328	2ND26328
2ND26329	2ND26329
2ND26330	2ND26330
2ND26331	2ND26331
2ND26332	2ND26332
2ND26333	2ND26333
2ND26334	2ND26334
2ND26335	2ND26335
2ND26336	2ND26336
2ND26337	2ND26337
2ND26338	2ND26338
2ND26339	2ND26339
2ND26340	2ND26340
2ND26341	2ND26341
2ND26342	2ND26342
2ND26343	2ND26343
2ND26344	2ND26344
2ND26345	2ND26345
2ND26346	2ND26346
2ND26347	2ND26347
2ND26348	2ND26348
2ND26349	2ND26349
2ND26350	2ND26350
2ND26351	2ND26351
2ND26352	2ND26352
2ND26353	2ND26353
2ND26354	2ND26354
2ND26355	2ND26355
2ND26356	2ND26356
2ND26357	2ND26357
2ND26358	2ND26358
2ND26359	2ND26359
2ND26360	2ND26360
2ND26361	2ND26361
2ND26362	2ND26362
2ND26363	2ND26363
2ND26364	2ND26364
2ND26365	2ND26365
2ND26366	2ND26366
2ND26367	2ND26367
2ND26368	2ND26368
2ND26369	2ND26369
2ND26370	2ND26370
2ND26371	2ND26371
2ND26372	2ND26372
2ND26373	2ND26373
2ND26374	2ND26374
2ND26375	2ND26375
2ND26376	2ND26376
2ND26377	2ND26377
2ND26378	2ND26378
2ND26379	2ND26379
2ND26380	2ND26380
2ND26381	2ND26381
2ND26382	2ND26382
2ND26383	2ND26383
2ND26384	2ND26384
2ND26385	2ND26385
2ND26386	2ND26386
2ND26387	2ND26387
2ND26388	2ND26388
2ND26389	2ND26389
2ND26390	2ND26390
2ND26391	2ND26391
2ND26392	2ND26392
2ND26393	2ND26393
2ND26394	2ND26394
2ND26395	2ND26395
2ND26396	2ND26396
2ND26397	2ND26397
2ND26398	2ND26398
2ND26399	2ND26399
2ND26400	2ND26400
2ND26401	2ND26401
ND27327	ND27327
ND27328	ND27328
ND27329	ND27329
ND27330	ND27330
ND27331	ND27331
ND27332	ND27332
ND27333	ND27333
ND27334	ND27334
ND27335	ND27335
ND27336	ND27336
ND27337	ND27337
ND27338	ND27338
ND27339	ND27339
ND27340	ND27340
ND27341	ND27341
ND27342	ND27342
ND27343	ND27343
ND27344	ND27344
ND27345	ND27345
ND27346	ND27346
ND27347	ND27347
ND27348	ND27348
ND27349	ND27349
ND27350	ND27350
ND27351	ND27351
ND27352	ND27352
ND27353	ND27353
ND27354	ND27354
ND27355	ND27355
ND27356	ND27356
ND27357	ND27357
ND27358	ND27358
ND27359	ND27359
ND27360	ND27360
ND27361	ND27361
ND27362	ND27362
ND27363	ND27363
ND27364	ND27364
ND27365	ND27365
ND27366	ND27366
ND27367	ND27367
ND27368	ND27368
ND27369	ND27369
ND27370	ND27370
ND27371	ND27371
ND27372	ND27372
ND27373	ND27373
ND27374	ND27374
ND27375	ND27375
ND27376	ND27376
ND27377	ND27377
ND27378	ND27378
ND27379	ND27379
ND27380	ND27380
ND27381	ND27381
ND27382	ND27382
ND27383	ND27383
ND27384	ND27384
ND27385	ND27385
ND27386	ND27386
ND27387	ND27387
ND27388	ND27388
ND27389	ND27389
ND27390	ND27390
ND27391	ND27391
ND27392	ND27392
ND27393	ND27393
ND27394	ND27394
ND27395	ND27395
ND27396	ND27396
ND27397	ND27397
ND27398	ND27398
ND27399	ND27399
ND27400	ND27400
ND27401	ND27401
ND27402	ND27402
ND27403	ND27403
ND27404	ND27404
ND27405	ND27405
ND27406	ND27406
ND27407	ND27407
ND27408	ND27408
ND27409	ND27409
ND27410	ND27410
ND27411	ND27411
ND27412	ND27412
ND27413	ND27413
ND27414	ND27414
ND27415	ND27415
ND27416	ND27416
ND27417	ND27417
ND27418	ND27418
ND27419	ND27419
ND27420	ND27420
ND27421	ND27421
ND27422	ND27422
2ND27346	2ND27346
2ND27348	2ND27348
2ND27368	2ND27368
2ND27374	2ND27374
2ND27375	2ND27375
2ND27395	2ND27395
2ND27397	2ND27397
2ND27405	2ND27405
2ND27409	2ND27409
2ND27421	2ND27421
2ND27422	2ND27422
2ND27423	2ND27423
2ND27424	2ND27424
2ND27432	2ND27432
2ND27433	2ND27433
2ND27440	2ND27440
2ND27457	2ND27457
2ND27480	2ND27480
2ND27498	2ND27498
2ND27501	2ND27501
2ND27518	2ND27518
2ND27523	2ND27523
2ND27529	2ND27529
2ND27535	2ND27535
2ND27537	2ND27537
2ND27546	2ND27546
2ND27560	2ND27560
2ND27561	2ND27561
2ND27572	2ND27572
2ND27573	2ND27573
2ND27577	2ND27577
2ND27578	2ND27578
2ND27580	2ND27580
2ND27614	2ND27614
2ND27616	2ND27616
2ND27620	2ND27620
2ND27625	2ND27625
2ND27628	2ND27628
2ND27633	2ND27633
2ND27649	2ND27649
2ND27650	2ND27650
2ND27651	2ND27651
2ND27652	2ND27652
2ND27653	2ND27653
2ND27654	2ND27654
2ND27655	2ND27655
2ND27656	2ND27656
2ND27657	2ND27657
2ND27658	2ND27658
2ND27659	2ND27659
2ND27660	2ND27660
2ND27661	2ND27661
2ND27662	2ND27662
2ND27663	2ND27663
2ND27664	2ND27664
2ND27665	2ND27665
2ND27666	2ND27666
2ND27667	2ND27667
2ND27668	2ND27668
2ND27669	2ND27669
2ND27670	2ND27670
2ND27671	2ND27671
2ND27672	2ND27672
2ND27673	2ND27673
2ND27674	2ND27674
2ND27675	2ND27675
2ND27676	2ND27676
2ND27677	2ND27677
2ND27678	2ND27678
2ND27679	2ND27679
2ND27680	2ND27680
2ND27681	2ND27681
2ND27682	2ND27682
2ND27683	2ND27683
2ND27684	2ND27684
2ND27685	2ND27685
2ND27686	2ND27686
2ND27687	2ND27687
2ND27688	2ND27688
2ND27689	2ND27689
2ND27690	2ND27690
2ND27691	2ND27691
2ND27692	2ND27692
2ND27693	2ND27693
2ND27694	2ND27694
2ND27695	2ND27695
2ND27696	2ND27696
2ND27697	2ND27697
2ND27698	2ND27698
2ND27699	2ND27699
2ND27700	2ND27700
2ND27701	2ND27701
2ND27702	2ND27702
2ND27703	2ND27703
2ND27704	2ND27704
2ND27705	2ND27705
ND23319	ND23319
ND23325	ND23325
ND23329	ND23329
ND23338	ND23338
ND23345	ND23345
ND23356	ND23356
ND23357	ND23357
ND23359	ND23359
ND23361	ND23361
ND23366	ND23366
ND23386	ND23386
ND23391	ND23391
ND23404	ND23404
ND23409	ND23409
ND23422	ND23422
ND23424	ND23424
ND23428	ND23428
ND23432	ND23432
ND23433	ND23433
ND23435	ND23435
ND23437	ND23437
ND23448	ND23448
ND23449	ND23449
ND23453	ND23453
ND23454	ND23454
ND23463	ND23463
ND23466	ND23466
ND23468	ND23468
ND23497	ND23497
ND23499	ND23499
ND23524	ND23524
ND23536	ND23536
ND23538	ND23538
ND23541	ND23541
ND23542	ND23542
ND23543	ND23543
ND23546	ND23546
ND23555	ND23555
ND23565	ND23565
ND23572	ND23572
ND23574	ND23574
ND23590	ND23590
ND23591	ND23591
ND23592	ND23592
ND23599	ND23599
ND23607	ND23607
ND23611	ND23611
ND23612	ND23612
ND23614	ND23614
ND23616	ND23616
ND23617	ND23617
ND23621	ND23621
ND23623	ND23623
ND23642	ND23642
ND23652	ND23652
ND23653	ND23653
ND23657	ND23657
ND23658	ND23658
ND23659	ND23659
ND23662	ND23662
ND23663	ND23663
ND23666	ND23666
ND23667	ND23667
ND23669	ND23669
ND23672	ND23672
ND23676	ND23676
ND23680	ND23680
ND23699	ND23699
ND23711	ND23711
ND23716	ND23716
ND23731	ND23731
ND23753	ND23753
ND23766	ND23766
ND23769	ND23769
ND23770	ND23770
ND23778	ND23778
ND23799	ND23799
ND23819	ND23819
ND23821	ND23821
ND23824	ND23824
ND23825	ND23825
ND23827	ND23827
ND23848	ND23848
ND23870	ND23870
ND23877	ND23877
ND23882	ND23882
ND23883	ND23883
ND23886	ND23886
ND23887	ND23887
ND23889	ND23889
ND23893	ND23893
ND23894	ND23894
ND23898	ND23898
ND23899	ND23899
ND23934	ND23934
ND23961	ND23961
ND25641	ND25641
ND25642	ND25642
ND25643	ND25643
ND25644	ND25644
ND25645	ND25645
ND25646	ND25646
ND25647	ND25647
ND25648	ND25648
ND25649	ND25649
ND25650	ND25650
ND25651	ND25651
ND25652	ND25652
ND25653	ND25653
ND25654	ND25654
ND25655	ND25655
ND25656	ND25656
ND25657	ND25657
ND25658	ND25658
ND25659	ND25659
ND25660	ND25660
ND25661	ND25661
ND25662	ND25662
ND25663	ND25663
ND25664	ND25664
ND25665	ND25665
ND25666	ND25666
ND25667	ND25667
ND25668	ND25668
ND25669	ND25669
ND25670	ND25670
ND25671	ND25671
ND25672	ND25672
ND25673	ND25673
ND25674	ND25674
ND25675	ND25675
ND25676	ND25676
ND25677	ND25677
ND25678	ND25678
ND25679	ND25679
ND25680	ND25680
ND25681	ND25681
ND25682	ND25682
ND25683	ND25683
ND25684	ND25684
ND25685	ND25685
ND25686	ND25686
ND25687	ND25687
ND25688	ND25688
ND25689	ND25689
ND25690	ND25690
ND25691	ND25691
ND25692	ND25692
ND25693	ND25693
ND25694	ND25694
ND25695	ND25695
ND25696	ND25696
ND25697	ND25697
ND25698	ND25698
ND25699	ND25699
ND25700	ND25700
ND25701	ND25701
ND25702	ND25702
ND25703	ND25703
ND25704	ND25704
ND25705	ND25705
ND25706	ND25706
ND25707	ND25707
ND25708	ND25708
ND25709	ND25709
ND25710	ND25710
ND25711	ND25711
ND25712	ND25712
ND25713	ND25713
ND25714	ND25714
ND25715	ND25715
ND25716	ND25716
ND25717	ND25717
ND25718	ND25718
ND25719	ND25719
ND25720	ND25720
ND25721	ND25721
ND25722	ND25722
ND25723	ND25723
ND25724	ND25724
ND25725	ND25725
ND25726	ND25726
ND25727	ND25727
ND25728	ND25728
ND25729	ND25729
ND25730	ND25730
ND25731	ND25731
ND25732	ND25732
ND25733	ND25733
ND25736	ND25736
ND25737	ND25737
ND25738	ND25738
ND20448	ND20448
ND24843	ND24843
ND24890	ND24890
ND24906	ND24906
ND24978	ND24978
ND25025	ND25025
ND25030	ND25030
ND25033	ND25033
ND25148	ND25148
ND25151	ND25151
ND25152	ND25152
ND25153	ND25153
ND25160	ND25160
ND25161	ND25161
ND25163	ND25163
ND25165	ND25165
ND25172	ND25172
ND25205	ND25205
ND25208	ND25208
ND25220	ND25220
ND25768	ND25768
ND25782	ND25782
ND25786	ND25786
ND25805	ND25805
ND25824	ND25824
ND25825	ND25825
ND25826	ND25826
ND25832	ND25832
ND25835	ND25835
ND25839	ND25839
ND25840	ND25840
ND25843	ND25843
ND25882	ND25882
ND25908	ND25908
ND25911	ND25911
ND25917	ND25917
ND25949	ND25949
ND25966	ND25966
ND25967	ND25967
ND25969	ND25969
ND25970	ND25970
ND25975	ND25975
ND25976	ND25976
ND25977	ND25977
ND25979	ND25979
ND25982	ND25982
ND25986	ND25986
ND25988	ND25988
ND25989	ND25989
ND25996	ND25996
ND25998	ND25998
ND25999	ND25999
ND26009	ND26009
ND26010	ND26010
ND26015	ND26015
ND26017	ND26017
ND26018	ND26018
ND26030	ND26030
ND26032	ND26032
ND26033	ND26033
ND26034	ND26034
ND26036	ND26036
ND26037	ND26037
ND26048	ND26048
ND26055	ND26055
ND26058	ND26058
ND26062	ND26062
ND26085	ND26085
ND26086	ND26086
ND26090	ND26090
ND26092	ND26092
ND26100	ND26100
ND26104	ND26104
ND26105	ND26105
ND26111	ND26111
ND26139	ND26139
ND26178	ND26178
ND26180	ND26180
ND26181	ND26181
ND26205	ND26205
ND26208	ND26208
ND26212	ND26212
ND26221	ND26221
ND26229	ND26229
ND26239	ND26239
ND26247	ND26247
ND26249	ND26249
ND26251	ND26251
ND26252	ND26252
ND26262	ND26262
ND26284	ND26284
ND26288	ND26288
ND26289	ND26289
ND26292	ND26292
ND26300	ND26300
ND26303	ND26303
ND26724	ND26724
ND26729	ND26729
ND26731	ND26731
ND26732	ND26732
ND26744	ND26744
ND26745	ND26745
ND26750	ND26750
ND26751	ND26751
ND26755	ND26755
ND26793	ND26793
ND26794	ND26794
ND26803	ND26803
ND26804	ND26804
ND26820	ND26820
ND26821	ND26821
ND26854	ND26854
ND26891	ND26891
ND26902	ND26902
ND26920	ND26920
ND26921	ND26921
ND26922	ND26922
ND26925	ND26925
ND26928	ND26928
ND26929	ND26929
ND26933	ND26933
ND26938	ND26938
ND26942	ND26942
ND26945	ND26945
ND26954	ND26954
ND26977	ND26977
ND26979	ND26979
ND26981	ND26981
ND26983	ND26983
ND26986	ND26986
ND27000	ND27000
ND27009	ND27009
ND27016	ND27016
ND27018	ND27018
ND27035	ND27035
ND27074	ND27074
ND27077	ND27077
ND27090	ND27090
